name,description,base_price,category_name,sku,variant_price,color,size,stock,product_images,variant_images,tags,material,brand,featured
Luxe Velvet L-Shaped Sofa,Premium L-shaped sofa with velvet upholstery and chrome legs,1299.99,Corner Sofas/L-Shaped Sofas/Velvet,LUXE-VEL-001,,Blue,3 Seater,10,https://example.com/images/luxe-blue-main.jpg,https://example.com/images/luxe-blue-angle1.jpg,premium|velvet|corner|modern,Velvet,SofaDeal,true
Luxe Velvet L-Shaped Sofa,,1299.99,Corner Sofas/L-Shaped Sofas/Velvet,LUXE-VEL-002,1399.99,Grey,3 Seater,5,,https://example.com/images/luxe-grey-angle1.jpg,premium|velvet|corner|modern,Velvet,SofaDeal,true
Modern Chesterfield Leather Sofa,Classic button-tufted Chesterfield design with genuine leather upholstery,1899.99,Chesterfield Sofas/3 Seater/Leather,CHES-LTH-001,,Brown,Standard,8,https://example.com/images/chesterfield-brown-main.jpg|https://example.com/images/chesterfield-brown-angle1.jpg,https://example.com/images/chesterfield-brown-detail1.jpg,premium|leather|classic|tufted,Genuine Leather,SofaDeal,true
Compact Boucle Loveseat,Cozy 2-seater loveseat with textured boucle fabric,799.99,Loveseats & Armchairs/2 Seater/Bouclé,LOVE-BOU-001,,Cream,Compact,12,https://example.com/images/loveseat-cream-main.jpg,https://example.com/images/loveseat-cream-angle1.jpg,cozy|small|textured|apartment,Bouclé,SofaDeal,false
Family U-Shape Sectional,Spacious U-shaped sectional perfect for large family rooms,2499.99,U-Shaped Sofas/4 Seater,USEC-FAM-001,,Charcoal,Large,3,https://example.com/images/ushaped-charcoal-main.jpg,,sectional|family|spacious|modular,Polyester,SofaDeal,true
Family U-Shape Sectional,,2499.99,U-Shaped Sofas/4 Seater,USEC-FAM-002,2599.99,Navy Blue,Large,2,,https://example.com/images/ushaped-navy-angle1.jpg,sectional|family|spacious|modular,Polyester,SofaDeal,true
Manhattan Recliner Sofa,Power reclining 3-seater sofa with USB charging ports,1599.99,Recliner Sofas/3 Seater/Faux Leather/Power Recliner > In Stock,RECL-PWR-001,,Black,Standard,6,https://example.com/images/recliner-black-main.jpg|https://example.com/images/recliner-black-reclined.jpg,,comfort|power|charging|modern,Faux Leather,SofaDeal,true
Chelsea Corner Sofa Bed,L-shaped corner sofa that converts to a comfortable bed,1799.99,Sofa Beds/Corner Sofa Beds/Fabric,CBED-FAB-001,,Teal,Queen,4,https://example.com/images/cornerbed-teal-main.jpg|https://example.com/images/cornerbed-teal-bed.jpg,,convertible|sleeper|guest|versatile,Premium Fabric,SofaDeal,true
Chelsea Corner Sofa Bed,,1799.99,Sofa Beds/Corner Sofa Beds/Fabric,CBED-FAB-002,1899.99,Mustard,Queen,2,,https://example.com/images/cornerbed-mustard-angle1.jpg,convertible|sleeper|guest|versatile,Premium Fabric,SofaDeal,false
Modular Velvet Chaise Sofa,Fully modular velvet sectional with chaise configuration,1999.99,Modular Sofas/Chaise End/Velvet,MODU-VEL-001,,Emerald,Customizable,5,https://example.com/images/modular-emerald-main.jpg,,configurable|flexible|luxury|contemporary,Velvet,SofaDeal,true
Hampton 3+2 Chenille Set,Complete living room set with 3-seater sofa and 2-seater loveseat,2299.99,Sofa Sets/3+2 Seater Sets/Chenille,HAMP-SET-001,,Sand,Standard,3,https://example.com/images/hamptonset-sand-main.jpg|https://example.com/images/hamptonset-sand-loveseat.jpg,,complete|matching|traditional|comfortable,Chenille,SofaDeal,true 